Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2 (self-reported),Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area (ft²),Self-Reported Gross Floor Area (ft²),Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Propane Use (kBtu),District Steam Use (kBtu),District Hot Water Use (kBtu),District Chilled Water Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kWh),Weather Normalized Site Electricity (kWh),Annual Maximum Demand (kW),Annual Maximum Demand (MM/YYYY),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Water Use Intensity (All Water Sources) (gal/ft²),Water Required?,Generation Date,DOF Benchmarking Submission Status
23136,4452255,LL84 Superblock Campus,4452255,LL84 Superblock Campus,1009627501;1009620080;1009620108,1-00962-7501; 1-00962-0080; 1-00962-0108,1081693;1081694;1085695;1081692;1085588;1088433; 1087297; 1085694,550 First Avenue,,10016,Not found,Not found,Manhattan, Not found ,2323081,Hospital (General Medical & Surgical),"Hospital (General Medical & Surgical), Laboratory, Other",Hospital (General Medical & Surgical),1408530,Other,554128,Laboratory,360423,1952,3,100,Whole Building,Whole Building,,562.3,562.3,449.5,449.5,15.1,4,,,,,,,3689999.8,,,920936250.2,9209362.5,119582809.4,35047712.4,35047712.4,,,59287.8,48915.4,10372.5,60652.8,26.11,Not found,12/21/2018,Not found
23297,3616399,New York University: Washington Square,3616399,New York University: Washington Square,1005350036;1005480004;1005410001;1005470001;1005320008;1005410018;1005380040;1005350001;1005520024;1005480009;1005460021;1005460026;1005470004;1005520060;1005330001;1005470026;1005520026;1005460031;1005470019;1005460035;1005460033;1005470018;1005470030;1005400014;1005350008;1005470008;1005460020;1005240066;1005460010;1005460011;1005417501;1005470015;1005387501;1005460001;1005410033;1005470014;1005460005;1005430053;1005480021;1005470005;1005470004,1005350036;1005480004;1005410001;1005470001;1005320008;1005410018;1005380040;1005350001;1005520024;1005480009;1005460021;1005460026;1005470004;1005520060;1005330001;1005470026;1005520026;1005460031;1005470019;1005460035;1005460033;1005470018;1005470030;1005400014;1005350008;1005470008;1005460020;1005240066;1005460010;1005460011;1005417501;1005470015;1005387501;1005460001;1005410033;1005470014;1005460005;1005430053;1005480021;1005470005;1005470004,,70 Washington Square S,,100122500,Not found,Not found,Manhattan, Not found ,10477571,College/University,College/University,College/University,10477571,,,,,1833,79,100,Whole Building,,,1476.5,1475.7,1377.1,1376.8,5,13.6,,35334763.7,,,,,,,,14209985834,142099858.3,183486655.4,53776856.1,52890559.5,,,772922.5,757383,15539.5,,,Not found,12/21/2018,Not found
23302,4046078,Jacobs Academic,4046078,Jacobs Academic,3001420001;3001400000,"3001420001, 3001420050","333,174,730,002,653,000,000",6 Metrotech Center,,11201,Not found,Not found,Brooklyn, Not found ,420000,College/University,College/University,College/University,420000,,,,,2000,3,100,Whole Building,Whole Building,,239.8,245.9,121.9,128.5,18.6,0.7,,,,,,,,,,24387300.2,273004.2,26831125.4,7863752.1,7811023.3,,,3567.7,1295.3,2272.3,8760.5,20.86,Not found,12/21/2018,Not found
23449,4985858,Original Campus,4985858,Original Campus,3019200001;3019190001;3019050120;3019210001;3019220001,3-01920-0001;3-01919-0001;3-01905-0120;3-01921-0001;3-01922-0001,,200 Grand Ave,,11205,Not found,Not found,Brooklyn, Not found ,900000,College/University,College/University,College/University,900000,,,,,1887,22,100,Whole Building,Whole Building,,51.1,53.9,34.6,37.3,2.5,0.3,,,,,,,,,,23566799.4,260110.1,7584514,2222893.6,2222893.6,,,1894.1,1251.7,642.3,6101,6.78,Not found,12/21/2018,Not found
23723,3616399,New York University: Washington Square,3616399,New York University: Washington Square,1005350036;1005480004;1005410001;1005470001;1005320008;1005410018;1005380040;1005350001;1005520024;1005480009;1005460021;1005460026;1005470004;1005520060;1005330001;1005470026;1005520026;1005460031;1005470019;1005460035;1005460033;1005470018;1005470030;1005400014;1005350008;1005470008;1005460020;1005240066;1005460010;1005460011;1005417501;1005470015;1005387501;1005460001;1005410033;1005470014;1005460005;1005430053;1005480021;1005470005;1005470004,1005350036;1005480004;1005410001;1005470001;1005320008;1005410018;1005380040;1005350001;1005520024;1005480009;1005460021;1005460026;1005470004;1005520060;1005330001;1005470026;1005520026;1005460031;1005470019;1005460035;1005460033;1005470018;1005470030;1005400014;1005350008;1005470008;1005460020;1005240066;1005460010;1005460011;1005417501;1005470015;1005387501;1005460001;1005410033;1005470014;1005460005;1005430053;1005480021;1005470005;1005470004,,70 Washington Square S,,100122500,Not found,Not found,Manhattan, Not found ,10477571,College/University,College/University,College/University,10477571,,,,,1833,79,100,Whole Building,,,1476.5,1475.7,1377.1,1376.8,5,13.6,,35334763.7,,,,,,,,14209985834,142099858.3,183486655.4,53776856.1,52890559.5,,,772922.5,757383,15539.5,,,Not found,12/21/2018,Not found
23729,4046078,Jacobs Academic,4046078,Jacobs Academic,3001420001;3001420050,3001420001;3001420050,3331747;3000265;3331745,6 Metrotech Center,,11201,Not found,Not found,Brooklyn, Not found ,420000,College/University,College/University,College/University,420000,,,,,2000,3,100,Whole Building,Whole Building,,239.8,245.9,121.9,128.5,18.6,0.7,,,,,,,,,,24387300.2,273004.2,26831125.4,7863752.1,7811023.3,,,3567.7,1295.3,2272.3,8760.5,20.86,Not found,12/21/2018,Not found
23901,6281385,MM - LL84,6281385,MM - LL84,2027650226;2027650219,2-02765-0226; 2-02765-0219,2006638; 2006637,621-623 Manida Street,625-627 Manida Street,10474,Not found,Not found,Bronx, Not found ,85742,Multifamily Housing,Multifamily Housing,Multifamily Housing,85742,,,,,1916,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,Not found,12/21/2018,Not found
24292,4985858,Original Campus,4985858,Original Campus,3019200001;3019190001;3019050120;3019210001;3019220001,3-01920-0001;3-01919-0001;3-01905-0120;3-01921-0001;3-01922-0001,,200 Grand Ave,,11205,Not found,Not found,Brooklyn, Not found ,900000,College/University,College/University,College/University,900000,,,,,1887,22,100,Whole Building,Whole Building,,50.7,53.5,34.2,36.9,2.5,0.3,,,,,,,,,,23226796.4,255965.5,7584514,2222893.6,2222893.6,,,1876,1233.7,642.3,6101,6.78,Not found,12/24/2018,Not found
24418,5863726,"H-047 Warbasse House: Amalgamated Warbasse Houses, Inc.- Whole Campus",5863726,"H-047 Warbasse House: Amalgamated Warbasse Houses, Inc.- Whole Campus",3072530001;3072500001,3-07253-0001; 3-07250-0001,3320735; 3320734; 3320736; 3320736; 3257104; 3257102,"2701 WEST 6 ST, HH",,11224,Not found,Not found,Brooklyn, Not found ,3374944,Multifamily Housing,Multifamily Housing,Multifamily Housing,3374944,,,,,1965,7,100,Whole Building,Whole Building,2,194,194.9,184.8,185.7,,1.9,,,,,,,,,,623595658.7,6265890.5,,,,,,33122.2,33122.2,0,196979.4,58.37,Not found,12/24/2018,Not found
24610,4985858,Original Campus,4985858,Original Campus,3019200001;3019190001;3019050120;3019210001;3019220001,3-01920-0001;3-01919-0001;3-01905-0120;3-01921-0001;3-01922-0001,,200 Grand Ave,,11205,Not found,Not found,Brooklyn, Not found ,900000,College/University,College/University,College/University,900000,,,,,1887,22,100,Whole Building,Whole Building,,50.7,53.5,34.2,36.9,2.5,0.3,,,,,,,,,,23226796.4,255965.5,7584514,2222893.6,2222893.6,,,1876,1233.7,642.3,6101,6.78,Not found,12/26/2018,Not found
24853,3616399,New York University: Washington Square,3616399,New York University: Washington Square,1005350036;1005480004;1005410001;1005470001;1005320008;1005410018;1005380040;1005350001;1005520024;1005480009;1005460021;1005460026;1005470004;1005520060;1005330001;1005470026;1005520026;1005460031;1005470019;1005460035;1005460033;1005470018;1005470030;1005400014;1005350008;1005470008;1005460020;1005240066;1005460010;1005460011;1005417501;1005470015;1005387501;1005460001;1005410033;1005470014;1005460005;1005430053;1005480021;1005470005;1005470004,1005350036;1005480004;1005410001;1005470001;1005320008;1005410018;1005380040;1005350001;1005520024;1005480009;1005460021;1005460026;1005470004;1005520060;1005330001;1005470026;1005520026;1005460031;1005470019;1005460035;1005460033;1005470018;1005470030;1005400014;1005350008;1005470008;1005460020;1005240066;1005460010;1005460011;1005417501;1005470015;1005387501;1005460001;1005410033;1005470014;1005460005;1005430053;1005480021;1005470005;1005470004,,70 Washington Square S,,100122500,Not found,Not found,Manhattan, Not found ,10477571,College/University,College/University,College/University,10477571,,,,,1833,79,100,Whole Building,,,1476.5,1475.7,1377.1,1376.8,5,13.6,,35334763.7,,,,,,,,14209985834,142099858.3,183486655.4,53776856.1,52890559.5,,,772922.5,757383,15539.5,,,Not found,12/26/2018,Not found
24855,4046078,Jacobs Academic,4046078,Jacobs Academic,3001420001;3001420050,3001420001;3001420050,3331747;3000265;3331745,6 Metrotech Center,,11201,Not found,Not found,Brooklyn, Not found ,420000,College/University,College/University,College/University,420000,,,,,2000,3,100,Whole Building,Whole Building,,239.8,245.9,121.9,128.5,18.6,0.7,,,,,,,,,,24387300.2,273004.2,26831125.4,7863752.1,7811023.3,,,3567.7,1295.3,2272.3,8760.5,20.86,Not found,12/26/2018,Not found
24979,4985858,Original Campus,4985858,Original Campus,3019200001;3019190001;3019050120;3019210001;3019220001,3-01920-0001;3-01919-0001;3-01905-0120;3-01921-0001;3-01922-0001,,200 Grand Ave,,11205,Not found,Not found,Brooklyn, Not found ,900000,College/University,College/University,College/University,900000,,,,,1887,22,100,Whole Building,Whole Building,,50.7,53.5,34.2,36.9,2.5,0.3,,,,,,,,,,23226796.4,255965.5,7584514,2222893.6,2222893.6,,,1876,1233.7,642.3,6101,6.78,Not found,12/26/2018,Not found
25267,2693044,DEPM 1692 - 500 Park Ave,,,1012947501;1012940037,1-01294-7501;1-01294-0037,1036086;1036084,500 Park Avenue,,10022,Not found,Not found,Manhattan, Not found ,210000,Multifamily Housing,Multifamily Housing,Multifamily Housing,210000,,,,,1982,1,100,Whole Building,,1,263.9,264.3,97.4,97.6,27.1,0.1,,,,,,,0,,,1069430,10831.5,19389419.7,5682713.2,5691377,,,1698.9,56.8,1642.1,,,Not found,12/26/2018,Not found
25324,5876482,DEPM 2646 - 23-10 Queens Plaza South,,,4004250005;4004250001,4-00425-0005;4-000425-0001,4005066;4617250,23-10 Queens Plaza South,,11101,Not found,Not found,Queens, Not found ,400000,Multifamily Housing,Multifamily Housing,Multifamily Housing,400000,,,,,1920,2,100,Whole Building,Whole Building,99,57.7,60.1,37.2,39.4,3.1,0.3,,,,,,,,,,10601407.6,114940.5,4271778.3,1251986.5,1251986.5,,,924.9,563.1,361.8,433.3,1.08,Not found,12/26/2018,Not found
26095,6616026,Savoy Park Apartments,6616026,Savoy Park Apartments,1017370025;1017370015;1017370059;1017370001;1017370069,1-01737-0025;1-01737-0015;1-01737-0059;1-01737-0001;1-01737-0069,1083988;1083990;1083989;1053938;1053939;1053936;1053940,"15 W 139th St, 2300 5th Ave, 22-30 141st St. ",,10037,Not found,Not found,Manhattan, Not found ,1297038,Multifamily Housing,Multifamily Housing,Multifamily Housing,1297038,,,,,1959,3,95,Whole Building,Whole Building,30,151.9,160,99.8,107.2,7.9,0.8,,,,,,,,,,94555517.4,1038495.3,34926862.7,10236476.7,10306281.6,,,7980.2,5022.3,2958,13127.6,10.12,Not found,12/27/2018,Not found
26939,3616399,New York University: Washington Square,3616399,New York University: Washington Square,1005350036;1005480004;1005410001;1005470001;1005320008;1005410018;1005380040;1005350001;1005520024;1005480009;1005460021;1005460026;1005470004;1005520060;1005330001;1005470026;1005520026;1005460031;1005470019;1005460035;1005460033;1005470018;1005470030;1005400014;1005350008;1005470008;1005460020;1005240066;1005460010;1005460011;1005417501;1005470015;1005387501;1005460001;1005410033;1005470014;1005460005;1005430053;1005480021;1005470005;1005470004,1005350036;1005480004;1005410001;1005470001;1005320008;1005410018;1005380040;1005350001;1005520024;1005480009;1005460021;1005460026;1005470004;1005520060;1005330001;1005470026;1005520026;1005460031;1005470019;1005460035;1005460033;1005470018;1005470030;1005400014;1005350008;1005470008;1005460020;1005240066;1005460010;1005460011;1005417501;1005470015;1005387501;1005460001;1005410033;1005470014;1005460005;1005430053;1005480021;1005470005;1005470004,,70 Washington Square S,,100122500,Not found,Not found,Manhattan, Not found ,10477571,College/University,College/University,College/University,10477571,,,,,1833,79,100,Whole Building,,,200.4,204.2,161.8,165.9,5,1.5,,35334763.7,,,,,,,,1476400368,15228002.1,183486655.4,53776856.1,52890559.5,,,96580.3,81040.8,15539.5,,,Not found,12/28/2018,Not found
26942,4046078,Jacobs Academic,4046078,Jacobs Academic,3001420001;3001420050,3001420001;3001420050,3331747;3000265;3331745,6 Metrotech Center,,11201,Not found,Not found,Brooklyn, Not found ,420000,College/University,College/University,College/University,420000,,,,,2000,3,100,Whole Building,Whole Building,,239.8,245.9,121.9,128.5,18.6,0.7,,,,,,,,,,24387300.2,273004.2,26831125.4,7863752.1,7811023.3,,,3567.7,1295.3,2272.3,8760.5,20.86,Not found,12/28/2018,Not found
27001,2811573,Carolina Gardens - 2862 Hylan Boulevard,,,5040010001;5040020001;5040000039,5-04001-0001; 5-04002-0001; 5-04000-0039,5109684;5109685;5109686;5109687;5109688;5109689;5109690;5109691;5109692;5109693;5109694;5109695;5109696;5109697;5109698;5109699;5109700;5109701;5109702;5109703;5109704;5109705;5109706;5109707;5109708;5109709;5109710;5109711;5109712;5109713;5109714;5109715;5109716;5109717;5109718;5109719;5109720;5109721;5109722;5109723;5109724;5113446;5113447;5113448;5152075;5152076; 5109676; 5109667; 5109664; 5109665; 5109681; 5109682; 5109673; 5109659; 5109675; 5109661; 5116746; 5109662; 5109663; 5109674; 5109677; 5109679; 5109680; 5109672; 5109671; 5109660; 5109670; 5109668; 5109669; 5109666; 5109678; 5109683; 5109648; 5109655; 5109651; 5109653; 5109658; 5109657; 5113449; 5109641; 5109642; 5113450; 5814718; 5109643; 5109644; 5109645; 5109647; 5109649; 5109650; 5109654; 5109656; 5109646; 5109652 ,2862 Hylan Blvd,,10306,Not found,Not found,Staten Island, Not found ,158186,Multifamily Housing,Multifamily Housing,Multifamily Housing,158186,,,,,1950,1,100,Whole Building,Whole Building,31,112.3,120.3,101.2,108.6,1,1.1,,0,,,,,,,,15464100,166178.2,546187.2,160078.3,166048.4,,,867.6,821.4,46.3,5062.1,32,Not found,12/28/2018,Not found
27023,6617957,7 Theater Group - MAGORO,6617957,7 Theater Group - MAGORO,1010160011;1010160055;1010160005;1010160015;1010160051;1010160058,1-01016-0011;1-01016-0055;1-01016-0005;1-01016-0015;1-01016-0051;1-01016-0058,1024713;1024716;1024712;1080842;1080841;1024715;1024717,225 West 44th St,,10036,Not found,Not found,Manhattan, Not found ,191032,Performing Arts,Performing Arts,Performing Arts,191032,,,,,1912,7,100,Common areas (all energy loads),Whole Building,,90.6,95.7,53.3,58.2,5.8,0.4,,,,,,,,,,6412571.1,73434.6,3774974.8,1106381.7,1106381.7,211.3,Feb-17,660.3,340.6,319.7,4513.5,23.63,Not found,12/28/2018,Not found
27047,6617957,7 Theater Group - MAGORO,6617957,7 Theater Group - MAGORO,1010160011;1010160055;1010160005;1010160015;1010160051;1010160058,1-01016-0011;1-01016-0055;1-01016-0005;1-01016-0015;1-01016-0051;1-01016-0058,1024713;1024716;1024712;1080842;1080841;1024715;1024717,225 West 44th St,,10036,Not found,Not found,Manhattan, Not found ,191032,Performing Arts,Performing Arts,Performing Arts,191032,,,,,1912,7,100,Whole Building,Whole Building,,90.6,95.7,53.3,58.2,5.8,0.4,,,,,,,,,,6412571.1,73434.6,3774974.8,1106381.7,1106381.7,211.3,Feb-17,660.3,340.6,319.7,4513.5,23.63,Not found,12/28/2018,Not found
27158,6648909,31-57 31ST STREET,,,4006130012;4006137501;4006137502,4-00613-0012; 4-00613-7501;  4-00613-7502,4596062;4008368,31-57 31 ST,,11106,Not found,Not found,Queens, Not found ,119138,Multifamily Housing,Multifamily Housing,Multifamily Housing,119138,,,,,2016,1,100,Whole Building,,86,85.2,85.2,38.8,38.8,7.5,0.1,,,,,,,,,,1587886.6,15878.9,3031584.1,888506.4,888506.4,,,341.1,84.3,256.7,,,Not found,12/28/2018,Not found
27343,4994394,Esplanade Gardens,4994394,Esplanade Gardens,1020160050;1017440001,1-02016-0050;1-01744-0001,1079770;1083992,129 W 147th St,,10039,Not found,Not found,Manhattan, Not found ,2274380,Multifamily Housing,Multifamily Housing,Multifamily Housing,2274380,,,,,1966,2,95,Whole Building,,100,50.6,50.5,20.3,20.3,4.9,0,,0,,,,,,,,8031457.3,81190.4,38120190.5,11172387.4,11129096,,,3655,426.6,3228.4,,,Not found,12/28/2018,Not found
27354,4954471,Tower Gardens,4954471,Tower Gardens,2037160001;2037170001,2-03716-0001;2-03717-0001,2023511;2023553,1569-1591 Bruckner Blvd,,10472,Not found,Not found,Bronx, Not found ,249600,Multifamily Housing,Multifamily Housing,Multifamily Housing,249600,,,,,1960,2,95,Whole Building,,25,135.4,144.5,100.9,109.9,5.5,0,,19532037.4,,,,,,,,1007676.7,10177.3,4647144,1361999.8,1364513.5,,,1896.5,1503,393.6,,,Not found,12/28/2018,Not found
27357,4972273,Franklin Plaza (WW) - Compliance,4972273,Franklin Plaza (WW) - Compliance,1016560001;1016780001,1-01656-0001;1-01678-0001,1080693;1081081,2085-2086 2nd Ave,,10029,Not found,Not found,Manhattan, Not found ,1542240,Multifamily Housing,Multifamily Housing,Multifamily Housing,1542240,,,,,1961,2,95,Whole Building,Whole Building,7,180.6,187,129.3,135.4,7.5,1.1,,0,,,,,,,,159808924.3,1693011,39543915.3,11589657.2,11577630.3,,,11837.2,8488.2,3349,176259.7,114.29,Not found,12/28/2018,Not found
27360,4994371,Riverbend (WW),4994371,Riverbend (WW),1017630001;1017640001,1-01763-0001;1-01764-0001,1054344;1054345,2289-2311 5th Avenue,,10037,Not found,Not found,Manhattan, Not found ,843963,Multifamily Housing,Multifamily Housing,Multifamily Housing,843963,,,,,1970,2,95,Whole Building,,84,90,94.2,55,58.3,5.7,0,,26623649.9,,,,,,,,3681379.9,36813.8,16147323.6,4732509.3,4849797.7,,,3538.8,2171.2,1367.5,,,Not found,12/28/2018,Not found
27408,6675096,Dayton Towers ( 7600 Share Front Parkway & 1-50 Beach 77th Street),6675096,Dayton Towers ( 7600 Share Front Parkway & 1-50 Beach 77th Street),4161280001;4161290001,4-16128-0001; 4-16129-0001,4457804; 4457805; 4457806; 4457807,7600 Shore Front Parkway,,11692,Not found,Not found,Queens, Not found ,1090826,Multifamily Housing,Multifamily Housing,Multifamily Housing,1090826,,,,,1967,2,95,Whole Building,,52,120.1,120.1,78.1,78.1,6.4,0.6,,,,,,,,,,61476901.8,614769,23746496.4,6959699.2,6959699.2,,,5276.4,3265.3,2011.1,,,Not found,12/28/2018,Not found
27411,5877227,Remeeder Houses LL84,5877227,Remeeder Houses LL84,3037690001;3037700022,3-03769-0001;3-03770-0022,3325015;3325018;3325017;3325016;3325020,"331 Alabama Ave, 580 Sutter Ave, 585 Blake Ave &",350 Sheffield Ave,112074037,Not found,Not found,Brooklyn, Not found ,240118,Multifamily Housing,Multifamily Housing,Multifamily Housing,240118,,,,,1975,2,100,Whole Building,,99,74.3,74.3,38,38,5.8,0.2,,,,,,,,,,4390500.3,43905,4724774.4,1384752,1384752,,,633.3,233.2,400.1,,,Not found,12/28/2018,Not found
27415,5877335,Medgar Evers Houses LL84,5877335,Medgar Evers Houses LL84,3016290001;3018160001,3-01629-0001;3-01816-0001,3398080;3325009;3325010;3325012;3825094;3398081;3325011;3051253;3341864;3341861;3341863;3341862,"590,600,620,630,701,715, 735,745,755, Gates Ave",,11221,Not found,Not found,Brooklyn, Not found ,296138,Multifamily Housing,Multifamily Housing,Multifamily Housing,296138,,,,,1973,2,100,,,98,61.1,63.6,34.6,36.9,4.2,0.2,,,,,,,,,,6055299.9,66980.5,4186947.7,1227124,1235492.3,,,676.2,321.6,354.6,,,Not found,12/28/2018,Not found
27419,5877372,Twin Parks Apartments LL84,5877372,Twin Parks Apartments LL84,2031000065;2031010023,2-03100-0065;2-03101-0023,2012816;2012798,2260 Crotona Avenue,725-735 Garden Street,10457-1939,Not found,Not found,Bronx, Not found ,298500,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,290625,Parking,19000,,,1972,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,11188.6,38.5,Not found,12/28/2018,Not found
27430,5877508,Longwood Residences LL84,5877508,Longwood Residences LL84,2027240101;2027230006;2027240001;2027200093;2027200088;2027200084;2027200080,2-02724-0101;2-02723-0006;2-02724-0001;2-02720-0093;2-02720-0088;2-02720-0084;2-02720-0080,2005734;2005735;2005736;2005737;2005769;2099787;2099788;2005758;2098454;2005771,"940 Simpson street , 941 Simpson Street,","940 Fox Street, 999 E 163rd St",10459,Not found,Not found,Bronx, Not found ,387961,Multifamily Housing,Multifamily Housing,Multifamily Housing,237912.6,,,,,1908,7,100,Whole Building,Another configuration,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,Not found,12/28/2018,Not found
28118,3616399,New York University: Washington Square,3616399,New York University: Washington Square,1005350036;1005480004;1005410001;1005470001;1005320008;1005410018;1005380040;1005350001;1005520024;1005480009;1005460021;1005460026;1005470004;1005520060;1005330001;1005470026;1005520026;1005460031;1005470019;1005460035;1005460033;1005470018;1005470030;1005400014;1005350008;1005470008;1005460020;1005240066;1005460010;1005460011;1005417501;1005470015;1005387501;1005460001;1005410033;1005470014;1005460005;1005430053;1005480021;1005470005;1005470004,1005350036;1005480004;1005410001;1005470001;1005320008;1005410018;1005380040;1005350001;1005520024;1005480009;1005460021;1005460026;1005470004;1005520060;1005330001;1005470026;1005520026;1005460031;1005470019;1005460035;1005460033;1005470018;1005470030;1005400014;1005350008;1005470008;1005460020;1005240066;1005460010;1005460011;1005417501;1005470015;1005387501;1005460001;1005410033;1005470014;1005460005;1005430053;1005480021;1005470005;1005470004,,70 Washington Square S,,100122500,Not found,Not found,Manhattan, Not found ,10477571,College/University,College/University,College/University,10477571,,,,,1833,79,100,Whole Building,,,200.4,204.2,161.8,165.9,5,1.5,,35334763.7,,,,,,,,1476400368,15228002.1,183486655.4,53776856.1,52890559.5,,,96580.3,81040.8,15539.5,,,Not found,1/30/2019,Not found
28123,4046078,Jacobs Academic,4046078,Jacobs Academic,3001420001;3001420050,3001420001;3001420050,3331747;3000265;3331745,6 Metrotech Center,,11201,Not found,Not found,Brooklyn, Not found ,420000,College/University,College/University,College/University,420000,,,,,2000,3,100,Whole Building,Whole Building,,239.8,245.9,121.9,128.5,18.6,0.7,,,,,,,,,,24387300.2,273004.2,26831125.4,7863752.1,7811023.3,,,3567.7,1295.3,2272.3,8760.5,20.86,Not found,1/30/2019,Not found
28444,2944898,ABC 47W 30W,,,1011190021;1011190043,1-01119-0021;1-01119-0043,1081016; 1028232,47 W 66th Street and 30 W 67th street,,10023,Not found,Not found,Manhattan, Not found ,267932,Office,"Data Center, Office, Restaurant",Office,183932,Data Center,74400,Restaurant,9600,1985,1,100,Whole Building,,,854.6,,342.3,,82.9,0.6,,512670,,,,,,,,15368499.5,167837.3,75825555.1,22223196.3,22223196.3,,,7276,854.3,6421.7,33069.1,123.42,Not found,1/31/2019,Not found
28467,6280680,Newport Gardens,6280680,Newport Gardens,3036150001;3036160001,3-03615-0001;3-036160001,3252482;3342627;3342616;3342617;3342624;3342622;3342621;3342620;3342619;3342618;3342623;3342625;3342626;3411038;3256538;3342605;3342606;3342607;3342610;3342611;3342609;3342608;3342612;3342613;3342614;3825750;3820736;3342615,165 Lott Avenue,,11212,Not found,Not found,Brooklyn, Not found ,193158,Multifamily Housing,Multifamily Housing,Multifamily Housing,193158,,,,,1986,8,100,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,Not found,1/31/2019,Not found
28647,6687341,Fordham Hill Apartment and Garage (Parent),6687341,Fordham Hill Apartment and Garage (Parent),2032260053;2032360170,2-03226-0053; 2-03236-0170,2092432; 2092433; 2092435; 2092431; 2092434; 2092436; 2092437; 2092438; 2092439; 2817360,4 Fordham Hill oval,,10468,Not found,Not found,Bronx, Not found ,1230965,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,1230965,Parking,126208,,,1952,2,95,Whole Building,Whole Building,32,136.2,144.7,101.2,108.9,5.1,0.9,,,,,,,,,,103449119.3,1126502.7,21104338,6185326.9,6268938.1,,,7282,5494.7,1787.3,31734.4,25.78,Not found,2/4/2019,Not found
29058,6690737,FOR COMPLIANCE - Cadman Towers (Parent Property),6690737,FOR COMPLIANCE - Cadman Towers (Parent Property),3002320001;3002380035,3-00232-0001; 3-00238-0035,3001727; 3319420,10 Clinton Street,,11201,Not found,Not found,Brooklyn, Not found ,663159,Multifamily Housing,Multifamily Housing,Multifamily Housing,663159,,,,,1971,2,95,Whole Building,Whole Building,5,140.8,146.5,93.4,98.8,7.2,0.7,,,,,,,,,,45706000.6,492782.4,16202289.2,4748618.8,4754729.2,,,3799.8,2427.7,1372.2,26342.8,39.72,Not found,2/7/2019,Not found
29212,4985858,Original Campus,4985858,Original Campus,3019200001;3019190001;3019050120;3019210001;3019220001,3-01920-0001;3-01919-0001;3-01905-0120;3-01921-0001;3-01922-0001,,200 Grand Ave,,11205,Not found,Not found,Brooklyn, Not found ,900000,College/University,College/University,College/University,900000,,,,,1887,22,100,Whole Building,Whole Building,,50.7,53.5,34.2,36.9,2.5,0.3,,,,,,,,,,23226796.4,255965.5,7584514,2222893.6,2222893.6,,,1876,1233.7,642.3,6101,6.78,Not found,2/8/2019,Not found
29230,4868217,92nd Street Y (Parent),4868217,92nd Street Y (Parent),1015200050;1015200020,1-01520-0050;1-01520-0020,1048310;1048303,1381-1395 Lexington Ave,,10128,Not found,Not found,Manhattan, Not found ,302053,Other - Recreation,Other - Recreation,Other - Recreation,302053,,,,,1930,2,100,Whole Building,,,147.1,145.8,53.2,52.7,15.2,0,,,,,,,,,,317609.4,3176.1,15751029.1,4616362,4576243.7,,,1350.8,16.9,1334,,,Not found,2/8/2019,Not found
29333,6280680,Newport Gardens,6280680,Newport Gardens,3036150001;3036160001,3036150001;3036160001,3252482;3342627;3342616;3342617;3342624;3342622;3342621;3342620;3342619;3342618;3342623;3342625;3342626;3411038;3256538;3342605;3342606;3342607;3342610;3342611;3342609;3342608;3342612;3342613;3342614;3825750;3820736;3342615,165 Lott Avenue,,11212,Not found,Not found,Brooklyn, Not found ,193158,Multifamily Housing,Multifamily Housing,Multifamily Housing,193158,,,,,1986,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,Not found,2/8/2019,Not found
